Reference Designators;Quantity;Description;Package;Value;Manufacturer;Manufacturer Part Number (MPN);Vendor;Vendor Part Number;Top/Bottom;
U1;1;Check availability;XCVR_ESP32-WROOM-32E_(16MB);ESP32-WROOM-32E_(16MB);;;;;Bottom;
R11, R14, R16, R18, R22, R23;6;RESISTOR, European symbol;R0603;47;;;;;Top;
R2, R3;2;RESISTOR, European symbol;R0603;5.1k;;;;;Bottom;
T1, T2, T3;3;NPN Transistror;SC59-BEC;NPN;;;;;-;
C6;1;CAPACITOR, European symbol;C0603K;DNP;;;;;Top;
C1, C10, C11, C12, C4, C5, C8, C9;8;CAPACITOR, European symbol;C0603K;0.1;;;;;-;
R5, R6;2;RESISTOR, European symbol;R0603;300;;;;;Top;
C2, C3, C7;3;CAPACITOR, European symbol;C0603K;10;;;;;Top;
J2;1;USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle; Through Hole  Check availability;GCT_USB4105-GF-A;USB4105-GF-A;;;;;Top;
J3;1;1.27mm SMT Straight Dual Pin;62131021021;62131021021;WURTH ELEKTRONIK;62131021021;;;Top;
D2, D3, D4, D5, D6;5;Schottky Barrier Diode;SOD-123FL;SS2040FL;;;;;Top;
R20, R21;2;RESISTOR, European symbol;R0603;DNP;;;;;Top;
LED1, LED2, LED3, LED4, LED5, LED6;6;;CHIPLED_0603;LEDCHIPLED_0603;;;;;Top;
VR1;1;LDO voltage regulator Check availability;SOT223;LT1963AEST-3.3#PBF;;;;;Top;
Q2, Q3, Q4, Q5;4;N-Channel MOSFET - Generic;SOT23;AO3400A;;;;;Top;
D1;1;Schottky Barrier Diode;SOD-123FL;1N4148WS;;;;;Top;
PAD1, PAD10, PAD11, PAD2, PAD3, PAD4, PAD5, PAD6, PAD7, PAD8, PAD9;11;Wire PAD connect wire on PCB;SMD1,27-2,54;WIREPADSMD1,27-254;;;;;Top;
R1, R10, R12, R13, R15, R17, R19, R31, R7, R8, R9;11;RESISTOR, European symbol;R0603;10k;;;;;-;
JP4;1;Normally closed solder jumper (1 of 2 connections);SMT-JUMPER_3_1-NC_PASTE_SILK;JUMPER-SMT_3_1-NC_PASTE_SILK;;;;;Top;
U2;1;FTDI FT231X Full Speed USB to Full-handshake UART;SSOP20_L;FT231XS;;;;;Top;
U3;1;;GY-521;GY-521MPU6050;;;;;Top;
L1;1;FERRITE BEAD 330 OHM 0805 1LN;BLM21PG331SN1D;BLM21PG331SN1D;Murata Electronics North America;BLM21PG331SN1D;;;Top;
R30, R4;2;RESISTOR, European symbol;R0603;1k;;;;;Top;
Q1;1;P-Channel MOSFET - Generic;SOT23;AO3401;;;;;Top;
SW1, SW2;2;SKRPABE010 Alps Electronics SMD-mounted tactile switch Check availability;SKRPABE010;SKRPABE010;;;;;Top;
J1;1;Wire-to-Board 2.0mm pitch top mount connector;B2B-PH-K-S;;;;;;Bottom;
